1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        993458     1179646792  [B (java.base@25.0.4)
   2:         80266      657868120  [C (java.base@25.0.4)
   3:        900043       43202064  org.apache.tomcat.util.buf.ByteChunk
   4:        840037       40321776  org.apache.tomcat.util.buf.CharChunk
   5:        820035       39361680  org.apache.tomcat.util.buf.MessageBytes
   6:        431303       38547544  [Ljava.lang.Object; (java.base@25.0.4)
   7:         40003       24199848  jdk.internal.vm.StackChunk (java.base@25.0.4)
   8:        635788       20345216  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
   9:         64052       19887424  [Ljdk.internal.vm.FillerElement; (java.base@25.0.4)
  10:        260020       14561120  java.nio.HeapByteBuffer (java.base@25.0.4)
  11:        186568       11940352  java.util.LinkedHashMap (java.base@25.0.4)
  12:        491367       11792808  java.lang.String (java.base@25.0.4)
  13:        100347       10543024  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  14:        140719        9006016  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  15:        106545        8713768  [Ljava.util.HashMap$Node; (java.base@25.0.4)
  16:        214134        8565360  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  17:        323631        7767144  java.util.ArrayList (java.base@25.0.4)
  18:        142674        6848352  java.util.HashMap (java.base@25.0.4)
  19:        182491        5839712  java.util.HashMap$Node (java.base@25.0.4)
  20:        220008        5280192  org.apache.tomcat.util.http.MimeHeaderField
  21:        140840        4506880  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25.0.4)
  22:         20001        4160208  org.apache.coyote.Request
  23:        238188        3811008  java.lang.Object (java.base@25.0.4)
  24:         20001        3680184  org.apache.catalina.connector.Request
  25:         20000        3520000  org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper
  26:         60003        3360168  java.nio.HeapCharBuffer (java.base@25.0.4)
  27:         20000        3360000  java.lang.VirtualThread (java.base@25.0.4)
  28:         60003        2880144  [Lorg.apache.tomcat.util.http.MimeHeaderField;
  29:        140056        2240896  java.util.concurrent.locks.ReentrantLock (java.base@25.0.4)
  30:         20001        2240112  sun.nio.ch.SocketChannelImpl (java.base@25.0.4)
  31:         20001        2080104  org.apache.coyote.Response
  32:         20001        2080104  org.apache.coyote.http11.Http11Processor
  33:        120027        1920432  java.util.concurrent.atomic.AtomicBoolean (java.base@25.0.4)
  34:         80013        1920312  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@25.0.4)
  35:         20001        1760088  org.apache.coyote.RequestInfo
  36:         20001        1600080  org.apache.coyote.http11.Http11InputBuffer
  37:         60208        1444992  javax.management.ObjectName$Property (java.management@25.0.4)
  38:         60010        1440240  io.micrometer.common.ImmutableKeyValue
  39:         20001        1440072  org.apache.catalina.connector.InputBuffer
  40:         20001        1440072  org.apache.coyote.http11.filters.ChunkedInputFilter
  41:         60003        1440072  org.apache.tomcat.util.http.MimeHeaders
  42:         20000        1440000  java.util.concurrent.DelayScheduler$ScheduledForkJoinTask (java.base@25.0.4)
  43:         20000        1440000  org.apache.catalina.core.AsyncContextImpl
  44:         20000        1440000  org.springframework.http.server.observation.ServerRequestObservationContext
  45:         10398        1315448  java.lang.Class (java.base@25.0.4)
  46:         40183        1284976  [Ljavax.management.ObjectName$Property; (java.management@25.0.4)
  47:         40009        1280288  java.net.InetAddress$InetAddressHolder (java.base@25.0.4)
  48:         40007        1280224  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@25.0.4)
  49:         20003        1280192  org.springframework.util.LinkedCaseInsensitiveMap$1
  50:         40002        1280064  [Lorg.apache.coyote.http11.InputFilter;
  51:         40002        1280064  [Lorg.apache.coyote.http11.OutputFilter;
  52:         20001        1280064  org.apache.catalina.connector.OutputBuffer
  53:         20001        1280064  org.apache.tomcat.util.http.Parameters
  54:         40002        1280064  org.apache.tomcat.util.http.parser.HttpHeaderParser
  55:         40002        1280064  org.apache.tomcat.util.http.parser.HttpHeaderParser$HeaderParseData
  56:         40000        1280000  java.util.concurrent.Semaphore$NonfairSync (java.base@25.0.4)
  57:         20000        1280000  org.springframework.validation.support.BindingAwareModelMap
  58:         20000        1280000  org.springframework.web.context.request.async.StandardServletAsyncWebRequest
  59:         20000        1280000  org.springframework.web.servlet.FlashMap
  60:         20001        1120056  [Lorg.apache.catalina.core.ApplicationFilterConfig;
  61:         20001        1120056  org.apache.catalina.connector.Response
